name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
CAROLINA MEDICAL CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",461 Spruce Street,"Walterboro, SC 29488",843-549-4335,Most private insurance and public insurance plans,1,MICHAEL BLUBAUGH
(FQHC) CLYBURN CENTER FOR PRIMARY CARE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1000 Clyburn Place,"Aiken, SC 29801",803-380-7000,Most private insurance and public insurance plans,1,KEN JONES
BARRIER ISLANDS PSYCHIATRY & ADDICTION MEDICINE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1616 ASHLEY RIVER RD,"CHARLESTON, SC 29407",843-556-8177,Most private insurance and public insurance plans,3,"JENNIFER HAYES,CONSTANCE ALEXANDER,JULIA RODRIGUEZ"
THE CHARLESTON CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",5 CHARLESTON CENTER DR,"CHARLESTON, SC 29401",843-958-3300,Most private insurance and public insurance plans,3,"ELIZABETH BILANCIONE,ASHTON OSBORNE,JOHN EMMEL"
CHARLESTON PAIN REHAB CENTER/ JEFFREY BUNCHER MD OFFICE,Injection Provider,Outpatient Facility,Alcohol Dependence,1124 Sam Rittenberg Blvd,"Charleston, SC 29407",843-556-3462,Most private insurance and public insurance plans,3,"SARA BREZINA,KATHRYN WOLF,JEFFREY BUNCHER"
CENTER FOR BEHAVIORAL HEALTH – SOUTH CAROLINA,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2301 Cosgrove Avenue, Suite F","North Charleston, SC 29405",843-529-0700,Most private insurance and public insurance plans,2,"MELISSA MEADOR,ALLEN JACKSON"
LANTANA RECOVERY,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1470 Ben Sawyer Boulevard,"Mount Pleasant, SC 29464",843-352-9982,"Most private insurance, no public insurance plans",1,SVETLANA STUCK
TIDEWATER HEALTH,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1435 Stuart Engels Blvd Suite 101,"Mount Pleasant, SC 29464",843-800-5686,Most private insurance and public insurance plans,1,DAVID SMITH
NEW HOPE INTEGRATIVE MEDICINE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",775 Saint James Avenue,"Goose Creek, SC 29445",843-801-8011,Most private insurance and public insurance plans,1,DENISE TEASLEY
ERNEST E. KENNEDY CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",306 Airport Drive,"Moncks Corner, SC 29461",843-761-8272,Most private insurance and public insurance plans,1,TONYA HUMPHREYS
TRI-COUNTY COMMISSION ON ALCOHOL AND DRUG ABUSE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",910 Cook Road,"Orangeburg, SC 29118",803-536-4900,Most private insurance and public insurance plans,1,WANDA COPELAND
VONS,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",750 NORTH IMPERIAL AVENUE,"El Centro, CA 92243",877-466-8028,,0,NA
VONS,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",475 WEST MAIN STREET,"Brawley, CA 92227",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",17049 West Bell Road,"Surprise, AZ 85374",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1999 W WICKENBURG WAY,"Wickenburg, AZ 85390",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",13828 W Waddell Rd,"Surprise, AZ 85379",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",13503 Camino Del Sol,"Sun City West, AZ 85375",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",10926 West Bell Road,"Sun City, AZ 85373",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,8950 W. BELL ROAD,"Peoria, AZ 85382",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",2845 N. Vistancia Blvd.,"Peoria, AZ 85383",877-466-8028,,0,NA
SAHARA BEHAVIORAL HEALTH,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6677 W. Thunderbird Rd. Ste. I-164,"Glendale, AZ 85306",623-878-2100,Most private insurance and public insurance plans,2,"CHRISTOPHER HANSEN,ROSEKAMAL MCKINNEY"
"GERALD HARRIS, DO Office","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","18301 North 79th Avenue, Suite G-190","Glendale, AZ 85308",623-977-0700,Most private insurance and public insurance plans,2,"DANNA MOISII,GERALD HARRIS"
HALCYON HEALTH & WELLNESS,"Prescriber, Injection Provider",Outpatient Facility,,7747 W. Deer Valley Rd. Suite 250,"Peoria, AZ 85382",623-234-2447,Most private insurance and public insurance plans,1,CHARLES BROOKER
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",20205 North 67th Ave.,"Glendale, AZ 85308",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3800 WEST 44TH AVENUE,"Glendale, AZ 85310",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1650 MCCULLOCH BLVD.,"Lake Havasu, AZ 86403",877-466-8028,,0,NA
INTENSIVE TREATEMENT SYSTEMS-NORTH,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",19401 N. Cave Creek Rd Ste. 18,"Phoenix, AZ 85024",602-996-0099,Most private insurance and public insurance plans,1,AUDREY GALE
2ND CHANCE TREATMENT CENTER - PHOENIX,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","16620 North 40th Street, Suite I5","Phoenix, AZ 85032",602-464-9576,Most private insurance and public insurance plans,4,"RICHARD ULRICH,ELENA SASS,CURTIS ANDREWS,ASHWIN REDDY"
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",29834 N. Cave Creek Road,"Cave Creek, AZ 85331",877-466-8028,,0,NA
ABSOLUTE REHABILITATION & PAIN MANAGEMENT,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",7320 E. Deer Valley Rd Ste. 100,"Scottsdale, AZ 85255",480-502-0250,"Limited health network, please contact office to learn more",1,RAYMOND KETCHAM
NATIONAL ADDICTION SERVICE,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence","7320 E Deer Valley Road, Ste 100","Scottsdale, AZ 85255",,"Limited health network, please contact office to learn more",1,WILLIAM NELSON
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",23565 North Scottsdale Road,"Scottsdale, AZ 85255",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",20901 N. Pima Road,"Scottsdale, AZ 85255",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",32551 N. Scottsdale Road,"Scottsdale, AZ 85266",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",401 EAST HIGHWAY260,"Payson, AZ 85541",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,2910 Juan Tabo Blvd NE,"Albuquerque, NM 87112",877-466-8028,,0,NA
PAIN AND RECOVERY CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1110 Pennsylvania Suite B,"Albuquerque, NM 87107",505-750-2034,Most private insurance and public insurance plans,2,"KEITH LEVITT,Charles Bennett"
MEDICAL EXAMINATION SERVICES,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3900 Eubank Blvd NE Suite 18,"Albuquerque, NM 87110",505-884-3344,"Limited health network, please contact office to learn more",1,JOHN VIGIL
Turning Point Recovery Center - Albuquerque,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","9201 Montgomery Boulevard, Suite 5","Albuquerque, NM 87111",505-217-1717,Most private insurance and public insurance plans,1,FRANCES LOPEZ-BUSHNELL
CLINICA LA ESPERANZA - ALBUQUERQUE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4201 Central Ave NW,"Albuquerque, NM 87105",505-508-1739,Most private insurance and public insurance plans,2,"DOLORES CORDOVA,JENNIFER PANTOJA"
FOUR WINDS BEHAVIORAL HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4100 Barbara Loop SE,"Rio Rancho, NM 87124",505-702-8547,"Most public insurance, no private insurance plans",1,PATTY DREY
"WELLNESS OPTIONS, LLC","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4101 Barbara Loop SE Suite B,"Rio Rancho, NM 87124",505-994-4503,Most private insurance and public insurance plans,1,WENDEE BURNETT
CLINICA LA ESPERANZA - RIO RANCHO,"Prescriber, Injection Provider",Outpatient Facility,,1101 Golf Course Rd SE Suite 201,"Rio Rancho, NM 87124",505-414-6449,Most private insurance and public insurance plans,2,"JENNIFER PANTOJA,DOLORES CORDOVA"
SUNRISE MEDICAL GROUP,Prescriber,Outpatient Facility,Opioid Dependence,117 Camino De Vida Suite 300,"Santa Rosa, NM 88435",575-472-4311,Most private insurance and public insurance plans,1,ANTJE POSTL
LA FAMILIA MEDICAL CENTER-SOUTHSIDE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2145 Caja Del Oro Grant Rd,"Santa Fe, NM 87507",505-438-3195,Most private insurance and public insurance plans,12,"MATTHEW SCHMIDT,LISA MOORE,KRISTINA SINNOTT,GARY GIBLIN,KIMBERLY LOPEZ,ELIZABETH LAWRENCE,JOSHUA LEIDERMAN,MERVIANNA THOMPSON,INGRID TYSON,LAUREN WALTERSDORF,ELISA GUTIERREZ,SUZANNE BURLONE"
LA FAMILIA MEDICAL CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1035 Alto Street,"Santa Fe, NM 87501",505-982-4425,Most private insurance and public insurance plans,1,WENDY JOHNSON
SUNRISE MEDICAL GROUP,Prescriber,,Opioid Dependence,1900 Hot Springs Blvd,"Las Vegas, NM 87701",575-472-4311,Most private insurance and public insurance plans,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,200 West Crawford Street,"Denison, TX 75020",877-466-8028,,0,NA
OUACHITA BEHAVIORAL HEALTH & WELLNESS - MALVERN,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1615 MLK Boulevard,"Malvern, AR 72104",501-332-5236,Most private insurance and public insurance plans,1,JANETTE MCGAUGH
OUACHITA BEHAVIORAL HEALTH & WELLNESS - HOT SPRINGS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",125 Don's Way,"HOT SPRINGS, AR 71913",501-624-7111,Most private insurance and public insurance plans,1,JANETTE MCGAUGH
MID SOUTH HEALTH SYSTEMS - HELENA,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",801 Newman Drive,"Helena, AR 72342",870-338-3900,Most private insurance and public insurance plans,1,MARCIE TUGGLE
Access Family Health Services- Tupelo Medical Clinic,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",499 Gloster Creek Village Suite D-1,"Tupelo, MS 38801",662-690-8007,,1,DAVID SUMERFORD
OXFORD TREATMENT CENTER - INPATIENT,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",297 County Road 244,"Etta, MS 38627",662-281-9992,"Limited health network, please contact office to learn more",1,RICHARD PANNEL
KOLBE CLINIC- JASPER,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,,1810 3rd Ave South,"Jasper, AL 35501",888-310-9011,Most private insurance and public insurance plans,2,"THOMAS MOODY,Quachetta Jones"
BRADFORD HEALTH SERVICES - WARRIOR,"Prescriber, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",1189 Albritton Rd,"Warrior, AL 35180",866-977-7158,"Most private insurance, no public insurance plans",1,JESSICA LAWLER
CLINIC 5 ADDICTION RECOVERY CLINIC,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1 INDEPENDENT DR,"RAINBOW CITY, AL 35906",256-952-2709,,3,"CHARLES GRIFFITH JR,EDWARD HWANG,THOMAS HARRELL"
BACK TO BASICS/OUTSIDE THE BOX HEALTHCARE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5730 US HWY 431,"Albertville, AL 35950",256-907-9700,Most private insurance and public insurance plans,2,"ROBIN SCOTT,RENITA BROWN"
DODGE CITY MEDICAL CLINIC/ MAIN STREET MEDICAL,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1600 Main St East,"Hartselle, AL 35640",256-754-5178,Most private insurance and public insurance plans,1,RICHARD BUCCO
WELLSTAR DOUGLAS HOSPITAL,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",8954 Hospital Dr,"DOUGLASVILLE, GA 30134",,Most private insurance and public insurance plans,1,DORCAS MWANGI
MURRAY MEDICAL & WELLNESS CENTER - ATLANTA,"Prescriber, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","920 Dannon View, Suite 3103","Atlanta, GA 30331",404-549-9471,Most private insurance and public insurance plans,2,"TONIAH PARYO,DARRELL MURRAY"
MURRAY MEDICAL & WELLNESS CENTER - AUSTELL,Counseling,Outpatient Facility,"Alcohol Dependence, Opioid Dependence","4760 Austell Road, Suite 1 & 3","Austell, GA 30106",770-819-1485,Most private insurance and public insurance plans,1,DARRELL MURRAY
MABLETON PHARMACY,Injection Provider,"Outpatient Facility, Retail Pharmacy",,5390 Floyd Road,"Mableton, GA 30126",770-948-3133,,1,Jonathan Marquess
COBB MEDICAL CLINIC,"Prescriber, Injection Provider, Counseling",Inpatient Facility,Alcohol Dependence,"2615 East-West Connector, Suite 106","Austell, GA 30106",770-941-0010,"Limited health network, please contact office to learn more",1,CHANDRESH SHAH
KOLBE CLINIC COLLINSVILLE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",13280 County Rd 51,"Collinsville, AL 35961",888-310-9011,Most private insurance and public insurance plans,1,JAMES HUTCHERSON
PHYSICIAN’S PHARMACY,Injection Provider,"Outpatient Facility, Retail Pharmacy",,3875 Austell Road,"Austell, GA 30106",770-944-9101,,1,Jonathan Marquess
"KIMBERLYNN RICHARDS, MD OFFICE","Prescriber, Injection Provider, Counseling",Outpatient Facility,Opioid Dependence,"3634 Highlands Parkway, SE","Smyrna, GA 30082",770-970-0858,Most private insurance and public insurance plans,1,KIMBERLYNN RICHARDS
WHOLE & HEALTHY YOU,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","3020 Highlands Pkwy, Suite G","Smyrna, GA 30082",678-355-8722,Most private insurance and public insurance plans,1,Shonali Saha
RIDGEVIEW INSTITUTE - SMYRNA,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",3995 S COBB DR SE,"SMYRNA, GA 30080",844-350-8800,"Limited health network, please contact office to learn more",2,"GARY WEICHBRODT,STEVEN LEE"
DUE WEST PHARMACY,Injection Provider,"Outpatient Facility, Retail Pharmacy",,3880 Due West Road,"Marietta, GA 30064",770-456-5895,,1,Jonathan Marquess
Ascensa Health at St. Jude's Recovery Center,"Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","139 Renaissance Parkway, NE","Atlanta, GA 30308",404-874-2224,"Limited health network, please contact office to learn more",1,RAHUL GUPTA
GEORGIA PSYCHIATRY & SLEEP - SMYRNA,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1314 Concord Rd SE,"Smyrna, GA 30080",770-438-1799,Most private insurance and public insurance plans,1,MUNJAL SHROFF
"HOWARD YAGER, MD OFFICE","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3109 E Shadowlawn Ave NE,"Atlanta, GA 30305",404-261-1165,Most private insurance and public insurance plans,1,HOWARD YAGER
EAST MARIETTA DRUG,Injection Provider,"Outpatient Facility, Retail Pharmacy",,1480 Roswell Road,"Marietta, GA 30062",770-973-7600,,1,Jonathan Marquess
EMORY HEALTH CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","12 Executive Park Drive NW, Suite 220","Atlanta, GA 30329",404-778-5526,Most private insurance and public insurance plans,1,STEPHEN DUDLEY
PSYCHIATRIC ADDICTION CURATIVE THERAPIES ATLANTA (PACT),"Prescriber, Injection Provider, Counseling",Outpatient Facility,Alcohol Dependence,465 WINN WAY STE 221,"DECATUR, GA 30030",404-292-3810,"Limited health network, please contact office to learn more",1,TODD ANTIN
BRIARCLIFF PHARMACY,Injection Provider,"Outpatient Facility, Retail Pharmacy",,2724 Clairmont Road,"Atlanta, GA 30329",404-633-8905,,1,Jonathan Marquess
NORTH GEORGIA RECOVERY CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","4255 Wade Green Road, NW","Kennesaw, GA 30144",678-940-7873,"Most private insurance, no public insurance plans",1,KAREN NEWELL
"JOSEPH GRIFFIN, MD OFFICE","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6065 LAKE FOREST DRIVE SUITE 170,"SANDY SPRINGS, GA 30328",404-303-7233,No Insurance accepted,0,NA
